
Bee,2,乐山,2,5,算是国产动漫电影中3d和故事情节做的好的。需要鼓励！只不过哪咤这个安娜贝尔一样的形象，嗯，特别怪吧
淋淋大魔王,0,新乡,2,2,一般吧，剧情和动作都一般，没有白蛇好看
kCO62396842,0,苏州,4,5,非常不错，很感人
The pursuit of his,0,湖州,1,5,"很不错，搞笑又催泪
"
你好呦！,0,天台,3,4,陈晓翔说红蓝CP不够给力
尹小怪,0,福州,3,5,"特效好炸天。不说别的，钱花的值。
"
飞扬,2,宿州,1,5,特别好啊！一个坚持自我，改变别人看法的小孩，虽然脾气有点暴躁！但是表情超可爱哈哈哈！
佳佳佳佳佳,0,温州,1,4.5,后面特效很好
天青色等烟雨,2,合浦县,1,5,"泪点笑点还蛮多的
不过我觉得导演有点变态
他竟然让我在哭的时候又马上来个笑点
于是我一边流泪一边又喷笑
可能是有戳到我心里的那个点
反正一开场不到20分钟我就流眼泪了
尴尬的是我妈在旁边给我递纸
内容有点老套又不乏新意
主要超喜欢太乙真人的那口川普
总得来说电影票很值很精彩
有、、羡慕哪吒，友情亲情他都占了，他母亲真的是长在我泪点上了，还有敖丙真的超帅！！！不过也心疼小哪吒，小时候那场被排挤的戏真的是有心疼到哭，还有小肚肚萌出血了
答应我！颜控一定要去！敖丙和哪吒成年版真的是帅爆了！我看了那场有个人也一直在惊呼！作为颜控我死了！！！
"
伪爱,2,上海,3,5,真的太好看的。笑点多。最后又特别感动。别忘了看彩蛋。😂 
嗯呐,0,荆州,3,5,很强势很巅峰
1997D,1,抚州,1,5,搞笑且富有剧情，画质、人物神态、细节等方面都表现得相当出色，国漫崛起不是空话！
Jooyala,0,临汾,2,5,国产崛起好嘛！太棒了！
MHE371863124,0,慈溪,3,5,太好看了，十分
🎀👙👗yanna,2,惠安,1,5,后面彩蛋太多，要一会进一会出
兔耽喵,0,自贡,2,5,感觉作画，剧情，打斗，分镜，配乐配音都超赞，故事很能吸引人，非常棒~
Qcp468146503,0,郑州,1,5,彩蛋？屏都灭了还不想走
吞头燕尾,2,白山,1,5,太好看了，扶我起来我还能再来
Elena,0,赣州,2,5,超级喜欢💕期待第二部
甘小甘367,2,杭州,3,5,好看的国漫  笑点 泪点都有 大人小朋友都可以看的 意犹未尽 期待第2部
FuL648967385,0,丰都,3,5,强烈推荐，支持国漫。
Kang,1,成都,1,5,我觉得可以靠江山社稷图开个游乐场！！！？
冯昊阳,0,巩义,2,5,我看过哪吒系列电影以来最好
凉白开,1,北京,1,5,煽情不够！哪吒变身后的形象抄袭，不如不变身。动画效果很好，国际水平。
浩哥2416,1,彭州,1,5,良心推荐，国产动画没有之一
香菜好难吃-,2,怀化,1,5,"超超超超级好看!敖丙好帅  哪吒也好帅  我爱T﹏T
情节也很感人  折射出的家庭教育也很深刻  有泪点  整片也有搞笑的成分  总之很喜欢"
yrN529959187,0,虞城,2,5,我都快感动哭了！
是烟火了,0,东莞,1,5,笑点泪点都有，国漫的崛起我希望可以一步步见证。
呦呵。,0,濮阳,1,2.5,剧情很短，说实话，我觉得有些失望，感觉做的很紧张，像是伸懒腰伸到了一半，没有完全发挥出来，可能是时间限制吧
智博,1,哈尔滨,1,5,这是近几年最好的国产动画片，燃，笑，泪！中国动画加油！就是最后彩蛋有点坑啊！哈哈
hkj102739771,2,芜湖,3,5,好看好看，笑点很足，期待下一部
汪汪润,0,璧山,2,5,朋友！朋友！
杨杨,2,大连,1,5,非常非常好看100个赞/:strong 
小羔羊,1,东莞,1,5,卢本伟牛逼！！！！
*亚亚,2,醴陵,2,5,太好看啦，超喜欢哪吒和敖丙的cp😍 😍 😍 
田半岁。,2,南宁,1,5,超级无敌好看！！！我爱哪吒！！我爱敖丙！！！！
.小y,1,建湖,1,5,哪吒太帅了吧
gghgfvv,1,重庆,4,5,我以为评分9.7是水军刷的，看来不是。今天朋友拉我去看。还可以。
章鱼先生,1,江阴,4,5,不错，虽然改编了，但是挺好的
如此傲娇怪我咯,2,嘉兴,2,5,真的超好看！！！
青韵,0,保山,1,5,我朋友说这是她唯一一次看电影没有睡觉的电影
吴大锤,1,锦州,1,5,国产动画顶尖水平了
yVF325048441,0,石狮,1,5,这是真真好看
千合农业~盘建恩18607669484,1,广州,1,5,非常，超级搞笑
霜,2,佛山,1,5,好看好看好看
Casey_Chen｀･(ｴ)･´,1,杭州,2,5,2刷打卡，点映就是5星好评！
雅丽💋雪儿,0,广元,1,4,很好看的，娃儿看的
妮妮儿,2,张家界,1,5,很好看，看的又哭又笑
TG℡,1,达州,1,5,很炫好看的推荐
易木mio,0,息县,1,5,影片好看，影院**，我最后还没看完给投影关了。早点倒闭吧，恶心人
隐逸,0,哈尔滨,1,5,超级好看！！！
愿有明月满山河,1,德阳,1,5,我**吹爆！玩儿梗笑的像个**，然后又哭的像个**
Dong🐾,2,湘潭,1,4.5,超级好看~燃爆~画面太美了~尤其是最后的部分~
厌弃,0,黄石,1,5,超级好看，我的天啊
夜静人浪-终点,0,广州,1,5,王者什么时候出敖丙
Fate.天明,1,上海,3,5,还是很好看的
SKG243867506,0,大连,4,5,好看喜剧元素多哈哈哈哈哈
TiAmo,2,平罗县,1,5,国产动画  从大圣到白蛇到哪咤 一直都在进步  作为全年龄动画真的没得黑    
胡珂珂,0,靖江,1,4.5,值得带孩子去看看。真的非常好看
吻心°,2,南阳,2,4,电影可以。。。
page,0,南京,1,5,非常好看，有笑点有泪点
lKR531506398,2,唐山,3,4.5,除了主角的配音，其他很震撼！！！
꧁༺江༻꧂ღ,1,衡水,1,5,非常好画面打击感很强很真实
yuvia,2,武汉,1,5,超燃超好看，笑点泪点俱有。值得二刷！
公子夷吾,1,乐山,4,5,国产动画片的又一次巅峰！
彭静仪,2,嘉兴,1,5,挺好看的nice！
婚礼策划师曾珍,2,长沙,3,5,∠( ᐛ 」∠)＿好看死了
Make...叶竹,1,宝应,3,4.5,少一分是希望快点出下部
程杰,2,武汉,1,4.5,剧情有感人的有笑人的，打斗很精彩，个人感觉有点少了，特效非常棒
酸奶菌ww,0,惠阳,2,5,太棒了，看过最棒的国产动画!
对方正在输入...,2,瑞昌,1,5,超级超级超级好看！！！！！！！真的，虽然哪吒长得有点残忍~不过画面特别仙！
巴黎草莓🍓,2,霸州,2,5,太好看了非常好看
Je。,1,安庆,1,4.5,十分满意。不给最后一分是怕导演太骄傲
姜超190,1,赣榆,2,5,非常好看的国产动画片，值得推荐，太乙真人搞笑担当。
🙃,2,深圳,1,4,好看，还好不错续继加油。！！！
十五,1,沈阳,1,5,好看！质量过硬，配音不尴尬，在国产动画巅峰
🍊考试都拿pass卡吧！,0,深圳,1,5,别说了，都去看！！真的好好看啊！人物塑造我的真被迷到晕阙一切都恰到好处！我爱你哪吒！
我是蜗牛980,2,日照,2,5,今天去看了，确实挺好看的。可以说是难得的国产动画电影，虽然后面有点尬，但前面非常完美。挺搞笑的～期待整个系列
Sky Yang（杨光喜）,0,北京,1,5,国漫最高峰。期待精品不断！
本恣,0,博白县,1,5,***吹爆！！！***好看了吧！！！awsl
peter小喇叭,1,永康,4,5,可以打 101分，目前国产动画最巅峰巨作 没有之一！
小小鱼🐳,0,济南,2,3.5,其实还好，没有惊喜也没有失望
哈哈,2,长沙,1,5,陪着侄儿子去看的，当时真的不抱希望。但是真的感觉特效做得不错，传达的理念是要信自己不信命，有笑点，有泪点，无尿点。
你有备注,1,昆明,2,5,很好看，比我期望的还高，有笑点有泪点，很感人，过2天带上家人再去
uRc851155578,0,牡丹江,2,5,"特别好！
结尾彩蛋好皮啊
哈哈哈哈 
期待姜子牙！"
豆子,2,建湖,2,5,炒鸡好看，哪吒敖丙配的一脸，我命由我不由天！
北葵向暖,1,蚌埠,3,5,用心之作😊好看 
风剪云_23号,1,台州,1,5,非常震撼！。。。
空白,2,东莞,2,5,很好看，开始很搞笑，后面我流泪了，一句我命由我不由天，帅气十足😎 
共产主义接班人,2,合肥,1,5,很好看，又好笑又有泪点
莪是好人丶,0,郑州,2,5,我命由我不由天。是魔是仙我自己说的算。
百搭岩,2,天津,1,5,好看好看就是晚了20分钟 
彭,0,深圳,1,5,好看，支持国漫，有笑点有泪点！
BEY609642097,1,靖江,2,5,不得不说   国漫的骄傲
AsW354035038,0,郑州,4,5,值得看两遍！
你的小可爱,2,烟台,1,5,哈哈哈  感觉画风很不错，还是值得期待国产
XYQ吖🌙,2,韶山,1,5,前面搞笑，后面挺感动的，看哭了，超级好看
籍 丹。,2,双城,1,5,人们心中的成见，是一座大山。
zhou292913,1,保定,1,4.5,10分怕jiaoao. 真的不错！
夜·羽774,2,仙居,1,5,"国漫崛起，人物形象十分完美
有笑点有泪点"
taq721048359,0,杭州,4,5,国漫和动漫真的是崛起。满分不管是剧情还是效果，真的可以和迪斯尼的动画媲美
宓梨,2,嵊州,3,5,"长大的哪吒和敖丙太帅了，颜控啊
"
a.朱迪,0,沈阳,1,5,好看好看好看，很感动，哪吒御姐音，帅气爆棚！
🐋,2,泉州,4,5,太燃太酷了！！国漫简直帅到炸！！！
女侠已退休,2,毕节,5,5,哪吒变少年超帅超炸！支持！！多出一些啊啊！
浮生若泪,1,缙云,1,5,吹爆，真的好看……站队哪吒敖丙cp！另外 此片彩蛋不断，别着急溜
怏怏,2,瑞金,1,4.5,也不知道说些啥  不过画风和剧情真的很好看😄 
徐海龙,0,吉林,2,5,期待更多的国漫，棒棒棒，有笑点，有泪点，有燃点，期待姜子牙。
蚯蚓,0,石嘴山,2,4,不错国产动漫越来越好了。剧情效果很好有笑有泪。值得一看
Cdg329653956,0,昆明,3,5,我打500分 比心
LailaWen,2,广州,2,4.5,虽然剧情俗套，但不狗血。搞笑，感动，很美也很燃。
Alter-,2,北京,1,5,真的很了不起啦，殷夫人真的是理想妈妈了，敖丙也很可爱呀
元气少女二兮酱,2,芜湖,3,4.5,我爱死这个哪吒了！不管如何，姜子牙见！陪你成长！
時鳩,2,中山,1,5,对于我来说超级好看，又很感人！！！好评！！！
rmU849496263,1,晋江市,1,5,很好！！！有笑点！也有泪点
初夏📌,1,苏州,1,5,剧情很棒，结尾有点仓促，希望有续集
小刘今天也有在努力胡说八道,2,张家界,1,5,太精彩了！！！我吹爆！！！！哪吒好帅！！！敖丙好帅！！！！求求他们俩有个好点的结局！！！！我爱了！！！！第二部赶紧出来
向日葵,0,阜阳,1,5,好看！剧情挺好的
Ada和（力）安消防器材年检维修,2,天津,2,5,真的不错，孩子看的也很感动。
Mars丶金,0,盘锦,1,5,五星好评，全程无尿点，国漫加油
General,1,阿克苏,1,5,电影还是很不错的，有很多笑点也有很多泪点，最后让人明白了很多道理
